tarea,positivos,negativos
Hablar en clase,tu puedes|confia en vos|tu opinion importa|no pasa nada si te equivocas,vas a fallar|te van a juzgar|mejor quedate callado|vas a decir algo mal
Iniciar un nuevo proyecto,es una buena idea|tenes capacidad|empeza de a poco|vas a aprender mucho,no va a funcionar|es muy dificil|no sos capaz|vas a abandonar
Practicar dibujo,vas a mejorar con practica|disfruta el proceso|cada intento suma|no tiene que ser perfecto,dibujas mal|no progresas|es una perdida de tiempo|nunca vas a mejorar
Consultar información con un compañero,pedir ayuda esta bien|es trabajo en equipo|vas a entender mejor|no estas solo,vas a molestar|van a pensar que no sabes nada|mejor no preguntes|te van a ignorar
Rendir un examen,estudiaste bien|confia en lo que sabes|vas a poder|mantene la calma,te vas a olvidar todo|no te alcanza el tiempo|vas a desaprobar|te va a ir mal
Ir a una entrevista,preparate y confia|tenes habilidades|puede salir bien|es una oportunidad,no sos suficiente|te van a rechazar|vas a ponerte nervioso|no te van a elegir
Salir a conocer gente,podes hacerlo|se vos mismo|no hay nada que perder|puede ser divertido,vas a quedar incomodo|no sabes que decir|nadie va a querer hablar|vas a hacer el ridiculo
Aprender algo nuevo,tenes capacidad de aprender|paso a paso|equivocarse es parte|vale la pena intentarlo,es muy dificil|no lo vas a entender|no es para vos|vas a frustrarte
Hacer ejercicio,te va a hacer bien|empeza tranquilo|es por tu salud|te vas a sentir mejor,te vas a cansar mucho|no vas a aguantar|no sirve de nada|vas a dejar rapido
Tomar una decision importante,confia en tu criterio|analizalo tranquilo|vas a elegir bien|es parte de crecer,vas a elegir mal|te vas a arrepentir|no estas preparado|mejor no decidas nada
